0 region code,1 region name,2 hemisphere,3 climate,4 terrain,5 borders,6 soviet dominance,7 US dominance,8 british dominance,9 crisis damage,10 soviet fortification,11 US fortification,12 UK fortification,13 ind fortification
W1,American Arctic,North,Polar,LITTORAL,"W2,W3,W4,W5,W6,W7,W14",5,80,5,0,1,1,1,1
W2,Northern Polar Region,North,Polar,LITTORAL,"W1,W3,W7",30,30,10,0,1,1,1,1
W3,Russian Arctic,North,Polar,LITTORAL,"W2,W4,W7,W8,W9,W10,W11",80,5,5,0,1,1,1,1
W4,Northern Pacific,North,Temperate,OCEANIC,"W1,W3,W5,W6,W11,W23,W24,W33",20,40,10,0,1,1,1,1
W5,Alaska,North,Cold,CONTINENTAL,"W1,W4,W6",5,85,5,0,1,1,1,1
W6,Canada,North,Cold,CONTINENTAL,"W1,W4,W5,W12,W13,W14",10,30,50,0,1,1,1,1
W7,Greenland and Iceland,North,Cold,LITTORAL,"W1,W2,W3,W8,W14,W15",10,30,40,0,1,1,1,1
W8,GIUK gap,North,Cold,OCEANIC,"W3,W7,W9,W15,W16,W17",20,20,40,0,1,1,1,1
W9,Scandinavia,North,Cold,CONTINENTAL,"W3,W8,W10,W18,W19",20,20,20,0,1,1,1,1
W10,Western USSR,North,Cold,CONTINENTAL,"W3,W9,W11,W19,W21,W22",80,5,5,0,1,1,1,1
W11,Eastern USSR,North,Cold,CONTINENTAL,"W3,W4,W10,W23",80,5,5,0,1,1,1,1
W12,Western US,North,Temperate,CONTINENTAL,"W4,W6,W13,W24",5,80,5,0,1,1,1,1
W13,Central US,North,Temperate,CONTINENTAL,"W6,W12,W14,W24",5,80,5,0,1,1,1,1
W14,Eastern US,North,Temperate,CONTINENTAL,"W1,W6,W7,W13,W15,W25",5,80,5,0,1,1,1,1
W15,North Atlantic,North,Temperate,OCEANIC,"W7,W8,W14,W16,W25,W26,W28,W27",20,30,30,0,1,1,1,1
W16,Ireland,North,Temperate,LITTORAL,"W8,W15,W17,W28",10,20,40,0,1,1,1,1
W17,United Kingdom,North,Temperate,LITTORAL,"W8,W14,W18,W29",5,5,80,0,1,1,1,1
W18,North Sea,North,Temperate,OCEANIC,"W9,W17,W19,W20,W29",5,5,80,0,1,1,1,1
W19,Baltic Sea,North,Cold,OCEANIC,"W9,W10,W18,W20",30,10,10,0,1,1,1,1
W20,North West Europe,North,Temperate,CONTINENTAL,"W18,W19,W21,W29",20,30,30,0,1,1,1,1
W21,Eastern Europe,North,Temperate,CONTINENTAL,"W10,W20,W22,W31",40,20,10,0,1,1,1,1
